destino,zona_logistica,distancia_km,sakbe_distance_km,diff_distance_pct,costo_casetas,sakbe_costo_casetas,costo_total,sakbe_costo_total,diff_costo_pct,fuente_costos
Monterrey,LOCAL,3.41,2.97,-12.9,9.38,0.0,24.38,13.06,-46.4,SAKBE_INEGI
Victoria,FORANEA,663.73,663.21,-0.1,1825.26,852.0,4745.67,3768.13,-20.6,SAKBE_INEGI
Guadalupe,LOCAL,16.39,12.28,-25.1,45.07,0.0,117.19,54.0,-53.9,SAKBE_INEGI
Reynosa,REGIONAL,220.58,217.75,-1.3,606.6,748.0,1577.15,1705.45,8.1,SAKBE_INEGI
Apodaca,LOCAL,21.43,15.75,-26.5,58.93,0.0,153.22,69.25,-54.8,SAKBE_INEGI
San Nicolás de los Garza,LOCAL,9.59,9.0,-6.2,26.37,0.0,68.57,39.57,-42.3,SAKBE_INEGI
Cadereyta Jiménez,LOCAL,43.96,45.13,2.7,120.89,321.0,314.31,519.44,65.3,SAKBE_INEGI
Matehuala,FORANEA,321.06,317.64,-1.1,882.91,473.0,2295.58,1869.66,-18.6,SAKBE_INEGI
Juárez,LEJANA,1163.7,1159.96,-0.3,3200.18,2392.0,8320.46,7492.34,-10.0,SAKBE_INEGI
Nuevo Laredo,REGIONAL,222.75,215.96,-3.0,612.56,621.0,1592.66,1570.58,-1.4,SAKBE_INEGI
Santa Catarina,LEJANA,901.58,1172.73,30.1,2479.35,3277.0,6446.3,8433.49,30.8,SAKBE_INEGI
Saltillo,LOCAL,86.75,87.23,0.6,238.56,294.0,620.26,677.55,9.2,SAKBE_INEGI
China,REGIONAL,125.3,122.53,-2.2,344.57,499.0,895.89,1037.76,15.8,SAKBE_INEGI
San Pedro Garza García,LOCAL,10.09,9.67,-4.2,27.75,0.0,72.14,42.52,-41.1,SAKBE_INEGI
Benito Juárez,LEJANA,907.29,1177.76,29.8,2495.05,2675.0,6487.12,7853.61,21.1,SAKBE_INEGI
García,LOCAL,46.94,35.46,-24.5,129.08,0.0,335.62,155.92,-53.5,SAKBE_INEGI
Santiago,LOCAL,36.26,35.65,-1.7,99.71,0.0,259.26,156.75,-39.5,SAKBE_INEGI
Río Bravo,REGIONAL,251.37,248.32,-1.2,691.27,859.0,1797.3,1950.86,8.5,SAKBE_INEGI
Pesquería,LOCAL,34.36,33.1,-3.7,94.49,0.0,245.67,145.54,-40.8,SAKBE_INEGI
Monclova,REGIONAL,238.85,191.9,-19.7,656.84,0.0,1707.78,843.78,-50.6,SAKBE_INEGI
General Treviño,REGIONAL,113.28,111.2,-1.8,311.52,0.0,809.95,488.95,-39.6,SAKBE_INEGI
Allende,LEJANA,1266.99,1842.17,45.4,3484.22,3700.92,9058.98,11800.94,30.3,SAKBE_INEGI
General Bravo,REGIONAL,129.5,127.44,-1.6,356.12,553.0,925.93,1113.35,20.2,SAKBE_INEGI
Cedral,FORANEA,331.6,317.24,-4.3,911.9,473.0,2370.94,1867.9,-21.2,SAKBE_INEGI
Ramos Arizpe,LOCAL,72.69,73.4,1.0,199.9,294.0,519.73,616.74,18.7,SAKBE_INEGI
Linares,REGIONAL,141.24,130.04,-7.9,388.41,0.0,1009.87,571.79,-43.4,SAKBE_INEGI
Xicoténcatl,FORANEA,402.96,390.39,-3.1,1108.14,0.0,2881.16,1716.54,-40.4,SAKBE_INEGI
Cerralvo,LOCAL,92.58,90.64,-2.1,254.59,0.0,661.95,398.54,-39.8,SAKBE_INEGI
Matamoros,FORANEA,316.21,315.77,-0.1,869.58,849.0,2260.9,2237.44,-1.0,SAKBE_INEGI
Ciénega de Flores,LOCAL,37.15,34.33,-7.6,102.16,0.0,265.62,150.95,-43.2,SAKBE_INEGI
Montemorelos,LOCAL,93.13,81.67,-12.3,256.11,0.0,665.88,359.1,-46.1,SAKBE_INEGI
Tijuana,LEJANA,2679.22,2591.64,-3.3,7367.85,7135.0,19156.42,18530.44,-3.3,SAKBE_INEGI
Torreón,FORANEA,331.67,332.46,0.2,912.09,849.0,2371.44,2310.83,-2.6,SAKBE_INEGI
Salinas Victoria,LOCAL,43.22,32.19,-25.5,118.85,0.0,309.02,141.54,-54.2,SAKBE_INEGI
Anáhuac,REGIONAL,209.57,274.67,31.1,576.32,621.0,1498.43,1828.72,22.0,SAKBE_INEGI
El Carmen,LEJANA,911.0,1170.32,28.5,2505.25,2828.0,6513.65,7973.9,22.4,SAKBE_INEGI
Agualeguas,REGIONAL,126.52,139.28,10.1,347.93,179.0,904.62,791.41,-12.5,SAKBE_INEGI
Jiménez,FORANEA,439.89,435.52,-1.0,1209.7,621.0,3145.21,2535.98,-19.4,SAKBE_INEGI
San Luis Potosí,FORANEA,511.71,513.18,0.3,1407.2,675.0,3658.73,2931.45,-19.9,SAKBE_INEGI
Sabinas,FORANEA,355.62,307.39,-13.6,977.96,0.0,2542.68,1351.59,-46.8,SAKBE_INEGI
Chihuahua,LEJANA,804.45,897.27,11.5,2212.24,1131.98,5751.82,5077.27,-11.7,SAKBE_INEGI
Méndez,REGIONAL,226.68,224.04,-1.2,623.37,499.0,1620.76,1484.1,-8.4,SAKBE_INEGI
San Fernando,REGIONAL,293.9,290.74,-1.1,808.22,499.0,2101.39,1777.38,-15.4,SAKBE_INEGI
Los Ramones,LOCAL,82.61,80.88,-2.1,227.18,436.0,590.66,791.63,34.0,SAKBE_INEGI
Mexicali,LEJANA,2926.33,2428.49,-17.0,8047.41,6360.0,20923.26,17038.07,-18.6,SAKBE_INEGI
Aguascalientes,FORANEA,571.61,676.74,18.4,1571.93,978.0,4087.01,3953.63,-3.3,SAKBE_INEGI
Puebla,LEJANA,2094.37,2411.06,15.1,5759.52,6305.0,14974.75,16906.43,12.9,SAKBE_INEGI
Hidalgo,LOCAL,42.01,40.35,-4.0,115.53,0.0,300.37,177.42,-40.9,SAKBE_INEGI
Gómez Palacio,FORANEA,344.78,358.01,3.8,948.14,1067.0,2465.18,2641.17,7.1,SAKBE_INEGI
Marín,LOCAL,42.72,39.95,-6.5,117.48,0.0,305.45,175.66,-42.5,SAKBE_INEGI
Galeana,REGIONAL,234.57,200.45,-14.5,645.07,0.0,1677.18,881.38,-47.4,SAKBE_INEGI
Piedras Negras,FORANEA,394.95,390.69,-1.1,1086.11,621.0,2823.89,2338.86,-17.2,SAKBE_INEGI
Valle Hermoso,FORANEA,301.4,320.17,6.2,828.85,1040.0,2155.01,2447.79,13.6,SAKBE_INEGI
