destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points
Monterrey,25.6677,-100.3151,877,NORESTE,3.41,0.0,9.38,15.0,24.38,LOCAL,here_routing,81
Victoria,21.2114,-100.2177,451,NORESTE,663.73,9.5,1825.26,2920.41,4745.67,FORANEA,here_routing,4756
Guadalupe,25.6764,-100.21,333,NORESTE,16.39,0.2,45.07,72.12,117.19,LOCAL,here_routing,390
Reynosa,26.0498,-98.2985,180,NORESTE,220.58,3.2,606.6,970.55,1577.15,REGIONAL,here_routing,1441
Apodaca,25.7629,-100.2032,126,NORESTE,21.43,0.3,58.93,94.29,153.22,LOCAL,here_routing,453
San Nicolás de los Garza,25.7361,-100.2707,104,NORESTE,9.59,0.1,26.37,42.2,68.57,LOCAL,here_routing,212
Cadereyta Jiménez,25.5887,-99.9936,103,NORESTE,43.96,0.6,120.89,193.42,314.31,LOCAL,here_routing,643
Matehuala,23.6556,-100.6405,75,NORESTE,321.06,4.6,882.91,1412.66,2295.58,FORANEA,here_routing,2723
Juárez,31.6562,-106.4269,72,NORESTE,1163.7,16.6,3200.18,5120.28,8320.46,LEJANA,here_routing,5830
Nuevo Laredo,27.4643,-99.5418,70,NORESTE,222.75,3.2,612.56,980.1,1592.66,REGIONAL,here_routing,1434
Santa Catarina,19.6363,-98.9247,58,NORESTE,901.58,12.9,2479.35,3966.95,6446.3,LEJANA,here_routing,6433
Saltillo,25.432,-100.9837,57,NORESTE,86.75,1.2,238.56,381.7,620.26,LOCAL,here_routing,1323
China,25.7,-99.2333,48,NORESTE,125.3,1.8,344.57,551.32,895.89,REGIONAL,here_routing,1034
San Pedro Garza García,25.6477,-100.3702,47,NORESTE,10.09,0.1,27.75,44.4,72.14,LOCAL,here_routing,279
Benito Juárez,19.3806,-99.1611,32,PENINSULA,907.29,13.0,2495.05,3992.08,6487.12,LEJANA,here_routing,6765
García,25.8013,-100.5971,30,NORESTE,46.94,0.7,129.08,206.54,335.62,LOCAL,here_routing,886
Santiago,25.4327,-100.1562,27,NORESTE,36.26,0.5,99.71,159.54,259.26,LOCAL,here_routing,765
Río Bravo,25.9869,-98.0947,27,NORESTE,251.37,3.6,691.27,1106.03,1797.3,REGIONAL,here_routing,1494
Pesquería,25.7909,-100.0479,20,NORESTE,34.36,0.5,94.49,151.18,245.67,LOCAL,here_routing,584
Monclova,26.9068,-101.4209,20,NORESTE,238.85,3.4,656.84,1050.94,1707.78,REGIONAL,here_routing,2158
General Treviño,26.2222,-99.4847,17,NORESTE,113.28,1.6,311.52,498.43,809.95,REGIONAL,here_routing,1129
Allende,18.1386,-94.3846,15,NORESTE,1266.99,18.1,3484.22,5574.76,9058.98,LEJANA,here_routing,8490
General Bravo,25.7943,-99.1789,15,NORESTE,129.5,1.9,356.12,569.8,925.93,REGIONAL,here_routing,957
Cedral,23.8184,-100.7256,13,NORESTE,331.6,4.7,911.9,1459.04,2370.94,FORANEA,here_routing,2800
Ramos Arizpe,25.5397,-100.9504,12,NORESTE,72.69,1.0,199.9,319.84,519.73,LOCAL,here_routing,1112
Linares,24.8621,-99.5629,12,NORESTE,141.24,2.0,388.41,621.46,1009.87,REGIONAL,here_routing,1346
Xicoténcatl,22.9953,-98.9433,11,NORESTE,402.96,5.8,1108.14,1773.02,2881.16,FORANEA,here_routing,2851
Cerralvo,26.0843,-99.6181,11,NORESTE,92.58,1.3,254.59,407.35,661.95,LOCAL,here_routing,1007
Matamoros,25.5301,-103.2503,10,NORESTE,316.21,4.5,869.58,1391.32,2260.9,FORANEA,here_routing,1819
Ciénega de Flores,25.9601,-100.1675,9,NORESTE,37.15,0.5,102.16,163.46,265.62,LOCAL,here_routing,569
Montemorelos,25.1861,-99.832,9,NORESTE,93.13,1.3,256.11,409.77,665.88,LOCAL,here_routing,995
Tijuana,32.5017,-116.9652,8,FRONTERA_NORTE,2679.22,38.3,7367.85,11788.57,19156.42,LEJANA,here_routing,20469
Torreón,25.5437,-103.3986,8,NORESTE,331.67,4.7,912.09,1459.35,2371.44,FORANEA,here_routing,2080
Salinas Victoria,25.9657,-100.2924,8,NORESTE,43.22,0.6,118.85,190.17,309.02,LOCAL,here_routing,654
Anáhuac,27.2373,-100.1375,7,NORESTE,209.57,3.0,576.32,922.11,1498.43,REGIONAL,here_routing,1351
El Carmen,19.8851,-98.9547,7,NORESTE,911.0,13.0,2505.25,4008.4,6513.65,LEJANA,here_routing,6204
Agualeguas,26.3106,-99.54,7,NORESTE,126.52,1.8,347.93,556.69,904.62,REGIONAL,here_routing,1222
Jiménez,29.0653,-100.6798,7,FRONTERA_NORTE,439.89,6.3,1209.7,1935.52,3145.21,FORANEA,here_routing,2567
San Luis Potosí,22.1331,-100.9587,7,NORESTE,511.71,7.3,1407.2,2251.52,3658.73,FORANEA,here_routing,3688
Sabinas,27.8641,-101.1299,6,NORESTE,355.62,5.1,977.96,1564.73,2542.68,FORANEA,here_routing,2735
Chihuahua,28.6585,-106.0708,6,FRONTERA_NORTE,804.45,11.5,2212.24,3539.58,5751.82,LEJANA,here_routing,4319
Méndez,25.1183,-98.5885,5,NORESTE,226.68,3.2,623.37,997.39,1620.76,REGIONAL,here_routing,1401
San Fernando,24.8459,-98.1476,4,GOLFO_SURESTE,293.9,4.2,808.22,1293.16,2101.39,REGIONAL,here_routing,1685
Los Ramones,25.6986,-99.6248,4,NORESTE,82.61,1.2,227.18,363.48,590.66,LOCAL,here_routing,789
Mexicali,32.6211,-115.4467,4,FRONTERA_NORTE,2926.33,41.8,8047.41,12875.85,20923.26,LEJANA,here_routing,22078
