destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points,sakbe_status,sakbe_distance_km,sakbe_duration_min,sakbe_costo_casetas,sakbe_costo_combustible,sakbe_costo_total,sakbe_source,sakbe_warning,sakbe_num_segments,diff_distance_km,diff_distance_pct,diff_costo_total,diff_costo_pct,costo_casetas_final,costo_combustible_final,costo_total_final,fuente_costos
Monterrey,25.6677,-100.3151,877,NORESTE,3.41,0.0,9.38,15.0,24.38,LOCAL,here_routing,81,success,2.97,4.4,0.0,13.06,13.06,sakbe,,1,-0.43999999999999995,-12.9,-11.319999999999999,-46.4,0.0,13.06,13.06,SAKBE_INEGI
Victoria,21.2114,-100.2177,451,NORESTE,663.73,9.5,1825.26,2920.41,4745.67,FORANEA,here_routing,4756,success,663.21,425.4,852.0,2916.13,3768.13,sakbe_segmented,,2,-0.5199999999999818,-0.1,-977.54,-20.6,852.0,2916.13,3768.13,SAKBE_INEGI
Guadalupe,25.6764,-100.21,333,NORESTE,16.39,0.2,45.07,72.12,117.19,LOCAL,here_routing,390,success,12.28,16.0,0.0,54.0,54.0,sakbe,,1,-4.110000000000001,-25.1,-63.19,-53.9,0.0,54.0,54.0,SAKBE_INEGI
Reynosa,26.0498,-98.2985,180,NORESTE,220.58,3.2,606.6,970.55,1577.15,REGIONAL,here_routing,1441,success,217.75,153.9,748.0,957.45,1705.45,sakbe,,1,-2.8300000000000125,-1.3,128.29999999999995,8.1,748.0,957.45,1705.45,SAKBE_INEGI
Apodaca,25.7629,-100.2032,126,NORESTE,21.43,0.3,58.93,94.29,153.22,LOCAL,here_routing,453,success,15.75,19.5,0.0,69.25,69.25,sakbe,,1,-5.68,-26.5,-83.97,-54.8,0.0,69.25,69.25,SAKBE_INEGI
San Nicolás de los Garza,25.7361,-100.2707,104,NORESTE,9.59,0.1,26.37,42.2,68.57,LOCAL,here_routing,212,success,9.0,13.1,0.0,39.57,39.57,sakbe,,1,-0.5899999999999999,-6.2,-28.999999999999993,-42.3,0.0,39.57,39.57,SAKBE_INEGI
Cadereyta Jiménez,25.5887,-99.9936,103,NORESTE,43.96,0.6,120.89,193.42,314.31,LOCAL,here_routing,643,success,45.13,49.2,321.0,198.44,519.44,sakbe,,1,1.1700000000000017,2.7,205.13000000000005,65.3,321.0,198.44,519.44,SAKBE_INEGI
Matehuala,23.6556,-100.6405,75,NORESTE,321.06,4.6,882.91,1412.66,2295.58,FORANEA,here_routing,2723,success,317.64,205.5,473.0,1396.66,1869.66,sakbe,,1,-3.420000000000016,-1.1,-425.91999999999985,-18.6,473.0,1396.66,1869.66,SAKBE_INEGI
Juárez,31.6562,-106.4269,72,NORESTE,1163.7,16.6,3200.18,5120.28,8320.46,LEJANA,here_routing,5830,success,1159.96,780.7,2392.0,5100.34,7492.34,sakbe_segmented,,2,-3.740000000000009,-0.3,-828.119999999999,-10.0,2392.0,5100.34,7492.34,SAKBE_INEGI
Nuevo Laredo,27.4643,-99.5418,70,NORESTE,222.75,3.2,612.56,980.1,1592.66,REGIONAL,here_routing,1434,success,215.96,142.5,621.0,949.58,1570.58,sakbe,,1,-6.789999999999992,-3.0,-22.080000000000155,-1.4,621.0,949.58,1570.58,SAKBE_INEGI
