destino,lat,lon,fuente,distancia_km,tiempo_minutos,costo_casetas,costo_combustible,costo_total,timestamp,zona_logistica
Tijuana,32.5149,-117.0382,sakbe_segmented,2600.19,0,7135.0,11433.03543,18568.03543,2026-01-02T09:58:04.363043,LEJANA
Mexicali,32.6245,-115.4523,sakbe_segmented,2428.88,0,6360.0,10679.785360000002,17039.78536,2026-01-02T09:59:02.187833,LEJANA
Culiacan,24.8049,-107.394,sakbe_segmented,1529.17,0,3728.0,6723.76049,10451.76049,2026-01-02T10:04:12.193345,LEJANA
Puebla,19.0414,-98.2063,sakbe_segmented,1293.25,0,3453.0,5686.420249999999,9139.42025,2026-01-02T10:02:47.633967,LEJANA
Ciudad Juarez,31.6904,-106.4245,sakbe_segmented,1163.09,0,2392.0,5114.1067299999995,7506.1067299999995,2026-01-02T10:01:23.632849,LEJANA
Chihuahua,28.6353,-106.0889,sakbe_segmented,800.06,0,1734.0,3517.86382,5251.8638200000005,2026-01-02T10:07:42.128658,LEJANA
Queretaro,20.5888,-100.3899,sakbe_segmented,702.8699999999999,0,852.0,3090.51939,3942.51939,2026-01-02T10:07:44.956487,LEJANA
Leon,21.1221,-101.686,sakbe_segmented,692.99,0,1251.0,3047.07703,4298.07703,2026-01-02T10:08:58.031603,FORANEA
Aguascalientes,21.8853,-102.2916,sakbe_segmented,678.53,0,978.0,2983.4964099999997,3961.4964099999997,2026-01-02T10:09:00.850629,FORANEA
San Luis Potosi,22.1565,-100.9855,sakbe,509.82,0,745.0,2241.67854,2986.67854,2026-01-02T10:10:43.303999,FORANEA
Torreon,25.5428,-103.4068,sakbe,331.31,0,849.0,1456.77007,2305.77007,2026-01-02T10:10:46.091152,FORANEA
Matamoros,25.8691,-97.5027,sakbe,310.35,0,1040.0,1364.60895,2404.60895,2026-01-02T10:11:26.637144,FORANEA
Reynosa,26.0508,-98.2979,sakbe,217.94,0,748.0,958.2821799999999,1706.28218,2026-01-02T10:14:26.237240,FORANEA
Nuevo Laredo,27.4861,-99.5067,sakbe,217.72,0,621.0,957.3148400000001,1578.31484,2026-01-02T10:12:04.767524,FORANEA
Santa Catarina,25.6732,-100.4583,estimation,18.626201408803936,0,9.313100704401968,81.89940759451092,91.2125082989129,2026-01-02T10:20:07.473358,LOCAL
Guadalupe,25.6775,-100.2597,sakbe,7.13,0,0.0,31.35061,31.35061,2026-01-02T10:16:47.546008,LOCAL
