macro_region,tipo_negocio,establecimientos,distancia_sakbe_km,costo_sakbe_mxn
BAJIO,MAYORISTA,134,521.3,3061.0
BAJIO,PROCESO,101,521.3,3061.0
BAJIO,RETAIL,6560,521.3,3061.0
CENTRO,MAYORISTA,369,727.3,4788.0
CENTRO,PROCESO,492,727.3,4788.0
CENTRO,RETAIL,27390,727.3,4788.0
FRONTERA_NORTE,MAYORISTA,167,965.8,6950.0
FRONTERA_NORTE,PROCESO,111,965.8,6950.0
FRONTERA_NORTE,RETAIL,1941,965.8,6950.0
GOLFO_SURESTE,MAYORISTA,118,965.8,6950.0
GOLFO_SURESTE,PROCESO,1257,965.8,6950.0
GOLFO_SURESTE,RETAIL,17036,965.8,6950.0
NORESTE,MAYORISTA,201,261.1,1501.0
NORESTE,PROCESO,137,261.1,1501.0
NORESTE,RETAIL,5390,261.1,1501.0
NOROESTE,MAYORISTA,81,521.3,3061.0
NOROESTE,PROCESO,97,521.3,3061.0
NOROESTE,RETAIL,2813,521.3,3061.0
OCCIDENTE,MAYORISTA,182,615.0,3850.0
OCCIDENTE,PROCESO,436,615.0,3850.0
OCCIDENTE,RETAIL,10199,615.0,3850.0
OTRA,RETAIL,819,727.3,4788.0
PENINSULA,MAYORISTA,50,1433.0,9897.0
PENINSULA,PROCESO,66,1433.0,9897.0
PENINSULA,RETAIL,3473,1433.0,9897.0
