municipio,macro_region,tam_bruto,score_promedio,distancia_promedio,clientes_fcarnes,tam_neto,penetracion_pct
León,BAJIO,1339,52.87154592979836,527.1326063898127,0,1339,0.0
Iztapalapa,CENTRO,1262,47.16006339144216,714.908419326084,0,1262,0.0
Puebla,CENTRO,1260,47.87619047619047,768.2101839746805,3,1257,0.24
Ecatepec de Morelos,CENTRO,1149,47.123585726718886,691.8673107330635,0,1149,0.0
Nezahualcóyotl,CENTRO,1121,47.813559322033896,708.6026187900044,0,1121,0.0
Guadalajara,OCCIDENTE,970,48.603092783505154,639.6732841197896,1,969,0.1
Venustiano Carranza,CENTRO,906,47.86865342163355,701.0207476729908,0,906,0.0
Zapopan,OCCIDENTE,856,48.1553738317757,639.5379176302455,1,855,0.12
Toluca,CENTRO,765,47.25098039215686,712.0613206376436,0,765,0.0
Querétaro,BAJIO,721,52.97642163661581,562.6866378944807,0,721,0.0
Mérida,PENINSULA,665,47.58045112781955,1204.2210066641637,0,665,0.0
Gustavo A. Madero,CENTRO,657,47.19634703196347,697.6295963247612,0,657,0.0
Tuxtla Gutiérrez,GOLFO_SURESTE,650,47.918461538461536,1237.6599821641269,0,650,0.0
Aguascalientes,BAJIO,629,53.7154213036566,469.6311218998012,4,625,0.64
Morelia,OCCIDENTE,553,48.151898734177216,671.982373208138,0,553,0.0
Centro,GOLFO_SURESTE,541,48.16820702402958,1141.3989304759812,0,541,0.0
Tlalnepantla de Baz,CENTRO,516,48.02906976744186,692.2410576484481,0,516,0.0
San Luis Potosí,NORESTE,505,52.78415841584158,399.4109691263897,0,505,0.0
Naucalpan de Juárez,CENTRO,479,47.31941544885177,699.3526927386868,0,479,0.0
Irapuato,BAJIO,465,52.43010752688172,567.8425873853113,0,465,0.0
Acapulco de Juárez,GOLFO_SURESTE,435,47.80689655172414,979.6751844355889,0,435,0.0
Chimalhuacán,CENTRO,431,46.92343387470998,709.0702147644541,0,431,0.0
San Pedro Tlaquepaque,OCCIDENTE,430,47.63023255813953,646.4626421574206,0,430,0.0
Benito Juárez,PENINSULA,417,47.75779376498801,1454.4429304497528,0,417,0.0
Durango,NOROESTE,379,53.49868073878628,480.2176807125942,3,376,0.79
Veracruz,GOLFO_SURESTE,353,48.06798866855524,835.652802880942,0,353,0.0
Tlalpan,CENTRO,349,47.07449856733524,721.9578314501872,0,349,0.0
Azcapotzalco,CENTRO,340,47.879411764705885,697.8564108010393,0,340,0.0
Chalco,CENTRO,337,47.053412462908014,728.266609788008,0,337,0.0
Tlajomulco de Zúñiga,OCCIDENTE,334,47.55988023952096,658.8974554788796,0,334,0.0
Oaxaca de Juárez,GOLFO_SURESTE,334,47.5748502994012,1025.2885863361782,0,334,0.0
Cuauhtémoc,CENTRO,328,47.140243902439025,703.8815779551019,0,328,0.0
Tehuacán,CENTRO,325,47.77538461538462,854.7291417715566,0,325,0.0
Xalapa,GOLFO_SURESTE,323,47.588235294117645,763.497139174979,0,323,0.0
Álvaro Obregón,CENTRO,317,47.04731861198738,710.5846482975275,0,317,0.0
Iztacalco,CENTRO,315,47.81587301587302,709.1122240542752,0,315,0.0
Celaya,BAJIO,305,53.045901639344265,575.8999421181561,0,305,0.0
Culiacán,NOROESTE,303,50.445544554455445,724.606817240668,0,303,0.0
Nicolás Romero,CENTRO,303,47.26402640264026,680.8189596376194,0,303,0.0
Coyoacán,CENTRO,303,46.960396039603964,716.0820902074721,0,303,0.0
Tonalá,OCCIDENTE,302,47.70860927152318,638.5582618637345,0,302,0.0
Ixtapaluca,CENTRO,301,47.05980066445183,721.2584007129211,0,301,0.0
Xochimilco,CENTRO,298,47.09731543624161,724.6661226346554,0,298,0.0
Atizapán de Zaragoza,CENTRO,296,47.30067567567568,686.612622571396,0,296,0.0
Cuautitlán Izcalli,CENTRO,295,47.166101694915255,678.4427948501321,0,295,0.0
Cuautla,CENTRO,282,47.219858156028366,773.8073626577237,0,282,0.0
Uruapan,OCCIDENTE,274,47.18978102189781,719.209815400191,0,274,0.0
Coatzacoalcos,GOLFO_SURESTE,265,47.23018867924528,1030.435687488442,0,265,0.0
San Cristóbal de las Casas,GOLFO_SURESTE,262,47.217557251908396,1269.3326162995315,0,262,0.0
Tultitlán,CENTRO,259,47.204633204633204,682.5306642879843,0,259,0.0
